city,long,lat
LAGNY-SUR-MARNE,2.713016,48.87296
LARCHANT,2.595654,48.284846
LAVAL-EN-BRIE,2.996464,48.424822
LECHELLE,3.386313,48.5781149
LESCHEROLLES,3.345783,48.762078
LESCHES,2.780588,48.908623
LESIGNY,2.61491,48.743921
BAZOCHES-LES-BRAY,3.187679,48.398506
LEUDON-EN-BRIE,3.269554,48.733568
LIEUSAINT,2.551107,48.631195
LIMOGES-FOURCHES,2.664534,48.626922
LISSY,2.694303,48.626514
LIVERDY-EN-BRIE,2.775059,48.699862
LIVRY-SUR-SEINE,2.684786,48.511018
LIZINES,3.1781419,48.526871
LIZY-SUR-OURCQ,3.026478,49.025453
LOGNES,2.6327379,48.836571
LONGPERRIER,2.663501,49.051977
BEAUCHERY-SAINT-MARTIN,3.4042,48.615
LONGUEVILLE,3.247348,48.514536
LORREZ-LE-BOCAGE-PREAUX,2.874197,48.223088
LOUAN-VILLEGRUIS-FONTAINE,3.48,48.6256
LUISETAINES,3.180571,48.46775
LUMIGNY-NESLES-ORMEAUX,2.948911,48.736362
LUZANCY,3.187653,48.972669
MACHAULT,2.828899,48.455316
MADELEINE-SUR-LOING,2.705568,48.203873
MAGNY-LE-HONGRE,2.814889,48.862993
MAINCY,2.701063,48.549769
BEAUMONT-DU-GATINAIS,2.4764565,48.1392779
MAISONCELLES-EN-BRIE,2.990862,48.861909
MAISONCELLES-EN-GATINAIS,2.626049,48.187434
MAISON-ROUGE,3.151747,48.55862
MARCHEMORET,2.77118,49.050413
MARCILLY,2.877401,49.036564
MARETS,3.314097,48.670626
MAREUIL-LES-MEAUX,2.85968,48.927228
MARLES-EN-BRIE,2.879155,48.728161
MAROLLES-EN-BRIE,3.164424,48.771532
MAROLLES-SUR-SEINE,3.035295,48.387036
BEAUTHEIL,3.087455,48.762974
MARY-SUR-MARNE,3.029875,49.01483
MAUPERTHUIS,3.039273,48.7681929
MAUREGARD,2.580725,49.032928
MAY-EN-MULTIEN,3.027701,49.073811
MEAUX,2.879255,48.959396
MEE-SUR-SEINE,2.632122,48.534031
MEIGNEUX,3.10363,48.511401
MEILLERAY,3.424258,48.788533
MELUN,2.6554,48.542105
MELZ-SUR-SEINE,3.416785,48.497692
BEAUVOIR,2.862701,48.6447379
MERY-SUR-MARNE,3.201474,48.966494
MESNIL-AMELOT,2.5923759,49.017823
MESSY,2.701035,48.967136
MISY-SUR-YONNE,3.089341,48.359721
MITRY-MORY,2.619156,48.98543
MOISENAY,2.738782,48.563482
MOISSY-CRAMAYEL,2.593706,48.627158
MONDREVILLE,2.609734,48.142658
MONS-EN-MONTOIS,3.147955,48.489061
MONTARLOT,2.85797,48.351961
AMPONVILLE,2.529407,48.279336
BELLOT,3.31897,48.857006
MONTCEAUX-LES-MEAUX,2.985497,48.941482
MONTCEAUX-LES-PROVINS,3.437441,48.694152
MONTCOURT-FROMONVILLE,2.700967,48.302946
MONTDAUPHIN,3.414141,48.849711
MONTENILS,3.476823,48.841803
MONTEREAU-FAULT-YONNE,2.956193,48.384734
MONTEREAU-SUR-LE-JARD,2.672559,48.589506
MONTEVRAIN,2.745977,48.874927
MONTGE-EN-GOELE,2.748872,49.028359
MONTHYON,2.8318279,49.010494
BERNAY-VILBERT,2.9383,48.6769
MONTIGNY-LE-GUESDIER,3.254057,48.3833089
MONTIGNY-LENCOUP,3.060868,48.452553
MONTIGNY-SUR-LOING,2.744978,48.335458
MONTMACHOUX,2.993637,48.319086
MONTOLIVET,3.439724,48.829459
MONTRY,2.8283999,48.886866
MORET-SUR-LOING,2.816429,48.373347
MORMANT,2.888184,48.610984
MORTCERF,2.919072,48.7949
MORTERY,3.259481,48.599362
BETON-BAZOCHES,3.245831,48.701067
MOUROUX,3.0391119,48.824685
MOUSSEAUX-LES-BRAY,3.229278,48.41049
MOUSSY-LE-NEUF,2.603502,49.064014
MOUSSY-LE-VIEUX,2.624373,49.047188
MOUY-SUR-SEINE,3.243799,48.420719
NANDY,2.56649,48.58047
NANGIS,3.013535,48.554611
NANTEAU-SUR-ESSONNE,2.427158,48.321032
NANTEAU-SUR-LUNAIN,2.809272,48.256113
BEZALLES,3.241995,48.678058
NANTEUIL-LES-MEAUX,2.897243,48.928386
NANTEUIL-SUR-MARNE,3.220698,48.978081
NANTOUILLET,2.707279,49.002425
NEMOURS,2.692611,48.267043
CHAUCONIN-NEUFMONTIERS,2.838324,48.973767
NEUFMOUTIERS-EN-BRIE,2.830289,48.7688739
NOISIEL,2.628701,48.85478
NOISY-RUDIGNON,2.931785,48.335437
NOISY-SUR-ECOLE,2.496133,48.373156
BLANDY,2.782819,48.5669449
NONVILLE,2.794352,48.28204
NOYEN-SUR-SEINE,3.349481,48.452794
OBSONVILLE,2.5600839,48.217079
OCQUERRE,3.057334,49.038697
OISSERY,2.8189639,49.071245
ORLY-SUR-MORIN,3.229836,48.903877
ORMES-SUR-VOULZIE,3.223967,48.460502
ORMESSON,2.648624,48.248366
OTHIS,2.675071,49.073912
BLENNES,3.023408,48.25764
OZOIR-LA-FERRIERE,2.671739,48.763827
OZOUER-LE-VOULGIS,2.77331,48.659608
PALEY,2.8543599,48.248658
PAMFOU,2.871128,48.4610399
PAROY,3.198835,48.479945
PASSY-SUR-SEINE,3.348288,48.425318
PECY,3.078244,48.65574
PENCHARD,2.86036,48.986833
PERTHES,2.555278,48.475655
BOISDON,3.225833,48.684706
PEZARCHES,2.989805,48.735704
PIERRE-LEVEE,3.0379139,48.899336
PIN,2.630118,48.915081
PLESSIS-AUX-BOIS,2.768818,49.003607
PLESSIS-FEU-AUSSOUX,3.032086,48.715732
PLESSIS-L'EVEQUE,2.784366,49.00856
PLESSIS-PLACY,2.98905,49.05788
POIGNY,3.2836599,48.5394689
POINCY,2.935734,48.969237
